model,variable,coefficient,std_error,t_stat,p_value,significant_5pct,significant_1pct,N,within_R2
H1_weekly_FE,hw_days_week,0.013984545735467657,0.0015038050873665393,9.299440368270975,0.0,True,True,3380,0.5178956270554271
H1_weekly_FE,hw_days_week_lag1,0.017461462537948128,0.0012830713243671779,13.609112920172443,0.0,True,True,3380,0.5178956270554271
H1_weekly_FE,hw_days_week_lag2,0.0017484610229964173,0.0011072572177025775,1.579092007748894,0.11440999013172926,False,False,3380,0.5178956270554271
H1_weekly_FE,tmax_anomaly_week,0.014019541269851308,0.0012302855572570825,11.395355482435987,0.0,True,True,3380,0.5178956270554271
H1_weekly_FE,tmax_anomaly_week_sq,-0.00020185041236604566,0.0003989311196064758,-0.5059781061080426,0.6129055321928689,False,False,3380,0.5178956270554271
H1_weekly_FE,tmax_anomaly_week_lag1,-0.0012279388085220662,0.0007657310407563848,-1.6036163393730456,0.10889353867586782,False,False,3380,0.5178956270554271
H1_weekly_FE,hot_week_p95,0.016091453206670256,0.006704184431429519,2.4002104016161603,0.016440253834439922,True,False,3380,0.5178956270554271
H2_weekly_FE,hw_days_week,0.01048404244365233,0.007777525818118726,1.347991982132471,0.17775289843795017,False,False,3380,0.5304889387312848
H2_weekly_FE,hw_days_week_lag1,0.008565698554841414,0.006151035243830801,1.392562099759127,0.16384547492713164,False,False,3380,0.5304889387312848
H2_weekly_FE,hw_days_week_lag2,0.0019696548502466777,0.0022912249762831465,0.859651440009124,0.3900432589204421,False,False,3380,0.5304889387312848
H2_weekly_FE,tmax_anomaly_week,0.005753477766095663,0.003907119828377066,1.4725624037196563,0.14096383012736768,False,False,3380,0.5304889387312848
H2_weekly_FE,tmax_anomaly_week_sq,-0.0006470578843794025,0.0016407527010416077,-0.39436649043370603,0.6933358021819562,False,False,3380,0.5304889387312848
H2_weekly_FE,tmax_anomaly_week_lag1,-0.0011962214989152942,0.0007486585092673119,-1.5978199460872993,0.11017818853833039,False,False,3380,0.5304889387312848
H2_weekly_FE,hot_week_p95,-0.026857090522274016,0.011454580461851603,-2.3446594671641634,0.019103064356127852,True,False,3380,0.5304889387312848
